clinvar,mane,mane_aa,alphafold
185,NM_001385.3,NP_001376.1,AF-Q14117-F1
186,NM_001385.3,NP_001376.1,AF-Q14117-F1
187,NM_001385.3,NP_001376.1,AF-Q14117-F1
190,NM_001017995.3,NP_001017995.1,AF-A1X283-F1
191,NM_001017995.3,NP_001017995.1,AF-A1X283-F1
193,NM_001080476.3,NP_001073945.1,AF-A8MXD5-F1
195,NM_001080476.3,NP_001073945.1,AF-A8MXD5-F1
196,NM_001080476.3,NP_001073945.1,AF-A8MXD5-F1
197,NM_001173990.3,NP_001167461.1,AF-Q9P0N5-F1
198,NM_001173990.3,NP_001167461.1,AF-Q9P0N5-F1
199,NM_001173990.3,NP_001167461.1,AF-Q9P0N5-F1
200,NM_001173990.3,NP_001167461.1,AF-Q9P0N5-F1
201,NM_024598.4,NP_078874.2,AF-A0A024R6V6-F1
203,NM_024598.4,NP_078874.2,AF-A0A024R6V6-F1
208,NM_000285.4,NP_000276.2,AF-A0A140VJR2-F1
211,NM_000285.4,NP_000276.2,AF-A0A140VJR2-F1
212,NM_000285.4,NP_000276.2,AF-A0A140VJR2-F1
213,NM_000285.4,NP_000276.2,AF-A0A140VJR2-F1
215,NM_000285.4,NP_000276.2,AF-A0A140VJR2-F1
216,NM_000285.4,NP_000276.2,AF-A0A140VJR2-F1
218,NM_000285.4,NP_000276.2,AF-A0A140VJR2-F1
219,NM_000027.4,NP_000018.2,AF-P20933-F1
220,NM_000027.4,NP_000018.2,AF-P20933-F1
221,NM_000027.4,NP_000018.2,AF-P20933-F1
223,NM_000027.4,NP_000018.2,AF-P20933-F1
227,NM_000027.4,NP_000018.2,AF-P20933-F1
229,NM_000027.4,NP_000018.2,AF-P20933-F1
230,NM_148923.4,NP_683725.1,AF-A0A384ME44-F1
231,NM_182758.4,NP_877435.3,AF-Q3MJ13-F1
232,NM_182758.4,NP_877435.3,AF-Q3MJ13-F1
234,NM_000398.7,NP_000389.1,AF-P00387-F1
235,NM_000398.7,NP_000389.1,AF-P00387-F1
236,NM_000398.7,NP_000389.1,AF-P00387-F1
238,NM_000398.7,NP_000389.1,AF-P00387-F1
239,NM_000398.7,NP_000389.1,AF-P00387-F1
240,NM_000398.7,NP_000389.1,AF-P00387-F1
241,NM_000398.7,NP_000389.1,AF-P00387-F1
245,NM_000398.7,NP_000389.1,AF-P00387-F1
246,NM_000398.7,NP_000389.1,AF-P00387-F1
247,NM_000398.7,NP_000389.1,AF-P00387-F1
248,NM_000398.7,NP_000389.1,AF-P00387-F1
249,NM_000398.7,NP_000389.1,AF-P00387-F1
250,NM_000398.7,NP_000389.1,AF-P00387-F1
252,NM_000398.7,NP_000389.1,AF-P00387-F1
257,NM_004628.5,NP_004619.3,AF-Q01831-F1
259,NM_004628.5,NP_004619.3,AF-Q01831-F1
260,NM_004628.5,NP_004619.3,AF-Q01831-F1
261,NM_004628.5,NP_004619.3,AF-Q01831-F1
264,NM_178452.6,NP_848547.4,AF-A0A140VJN4-F1
265,NM_178452.6,NP_848547.4,AF-A0A140VJN4-F1
267,NM_178452.6,NP_848547.4,AF-A0A140VJN4-F1
273,NM_173546.3,NP_775817.1,AF-Q8IXV7-F1
276,NM_000934.4,NP_000925.2,AF-P08697-F1
279,NM_001159773.2,NP_001153245.1,AF-A0A024R8U8-F1
280,NM_001159773.2,NP_001153245.1,AF-A0A024R8U8-F1
282,NM_001159773.2,NP_001153245.1,AF-A0A024R8U8-F1
283,NM_001159773.2,NP_001153245.1,AF-A0A024R8U8-F1
319,NM_012338.4,NP_036470.1,AF-A0A024R740-F1
320,NM_012338.4,NP_036470.1,AF-A0A024R740-F1
322,NM_012338.4,NP_036470.1,AF-A0A024R740-F1
327,NM_144573.4,NP_653174.3,AF-Q0ZGT2-F1
328,NM_001034850.3,NP_001030022.1,AF-Q9H6L5-F1
330,NM_001034850.3,NP_001030022.1,AF-Q9H6L5-F1
375,NM_000308.4,NP_000299.3,AF-P10619-F1
376,NM_000308.4,NP_000299.3,AF-P10619-F1
377,NM_000308.4,NP_000299.3,AF-P10619-F1
378,NM_000308.4,NP_000299.3,AF-P10619-F1
379,NM_000308.4,NP_000299.3,AF-P10619-F1
380,NM_000308.4,NP_000299.3,AF-P10619-F1
381,NM_000308.4,NP_000299.3,AF-P10619-F1
383,NM_000308.4,NP_000299.3,AF-P10619-F1
385,NM_000308.4,NP_000299.3,AF-P10619-F1
386,NM_000308.4,NP_000299.3,AF-P10619-F1
388,NM_000308.4,NP_000299.3,AF-P10619-F1
389,NM_000308.4,NP_000299.3,AF-P10619-F1
390,NM_000405.5,NP_000396.2,AF-P17900-F1
391,NM_000405.5,NP_000396.2,AF-P17900-F1
394,NM_000405.5,NP_000396.2,AF-P17900-F1
396,NM_019892.6,NP_063945.2,AF-Q9NRR6-F1
397,NM_019892.6,NP_063945.2,AF-Q9NRR6-F1
398,NM_019892.6,NP_063945.2,AF-Q9NRR6-F1
399,NM_019892.6,NP_063945.2,AF-Q9NRR6-F1
400,NM_019892.6,NP_063945.2,AF-Q9NRR6-F1
401,NM_017841.4,NP_060311.1,AF-Q9NX18-F1
402,NM_000353.3,NP_000344.1,AF-A0A140VKB7-F1
403,NM_000353.3,NP_000344.1,AF-A0A140VKB7-F1
404,NM_000353.3,NP_000344.1,AF-A0A140VKB7-F1
405,NM_000353.3,NP_000344.1,AF-A0A140VKB7-F1
406,NM_000353.3,NP_000344.1,AF-A0A140VKB7-F1
407,NM_144639.3,NP_653240.1,AF-Q96N76-F1
408,NM_144639.3,NP_653240.1,AF-Q96N76-F1
410,NM_032273.4,NP_115649.1,AF-Q9H061-F1
412,NM_003730.6,NP_003721.2,AF-O00584-F1
414,NM_003730.6,NP_003721.2,AF-O00584-F1
418,NM_000290.4,NP_000281.2,AF-P15259-F1
419,NM_000290.4,NP_000281.2,AF-P15259-F1
422,NM_199069.2,NP_951032.1,AF-Q9BU61-F1
423,NM_199069.2,NP_951032.1,AF-Q9BU61-F1
424,NM_199069.2,NP_951032.1,AF-Q9BU61-F1
425,NM_030773.4,NP_110400.1,AF-Q9H4B7-F1
426,NM_178012.5,NP_821080.1,AF-A0A384MEE3-F1
427,NM_178012.5,NP_821080.1,AF-A0A384MEE3-F1
428,NM_178012.5,NP_821080.1,AF-A0A384MEE3-F1
429,NM_001042631.3,NP_001036096.2,AF-A6NFY7-F1
430,NM_001042631.3,NP_001036096.2,AF-A6NFY7-F1
431,NM_020312.4,NP_064708.1,AF-A0A024R6U3-F1
433,NM_000110.4,NP_000101.2,AF-Q12882-F1
440,NM_005581.5,NP_005572.2,AF-P50895-F1
442,NM_005581.5,NP_005572.2,AF-P50895-F1
443,NM_005581.5,NP_005572.2,AF-P50895-F1
444,NM_207581.4,NP_997464.2,AF-Q1HG44-F1
445,NM_133459.4,NP_597716.1,AF-Q6UXH8-F1
446,NM_133459.4,NP_597716.1,AF-Q6UXH8-F1
447,NM_133459.4,NP_597716.1,AF-Q6UXH8-F1
450,NM_133459.4,NP_597716.1,AF-Q6UXH8-F1
451,NM_000097.7,NP_000088.3,AF-P36551-F1
452,NM_000097.7,NP_000088.3,AF-P36551-F1
453,NM_000097.7,NP_000088.3,AF-P36551-F1
456,NM_000097.7,NP_000088.3,AF-P36551-F1
457,NM_000097.7,NP_000088.3,AF-P36551-F1
458,NM_000097.7,NP_000088.3,AF-P36551-F1
460,NM_000097.7,NP_000088.3,AF-P36551-F1
461,NM_000097.7,NP_000088.3,AF-P36551-F1
463,NM_000097.7,NP_000088.3,AF-P36551-F1
464,NM_000035.4,NP_000026.2,AF-A0A024R145-F1
465,NM_000035.4,NP_000026.2,AF-A0A024R145-F1
468,NM_000035.4,NP_000026.2,AF-A0A024R145-F1
469,NM_000035.4,NP_000026.2,AF-A0A024R145-F1
471,NM_000035.4,NP_000026.2,AF-A0A024R145-F1
472,NM_000035.4,NP_000026.2,AF-A0A024R145-F1
473,NM_000035.4,NP_000026.2,AF-A0A024R145-F1
476,NM_000317.3,NP_000308.1,AF-Q03393-F1
479,NM_000317.3,NP_000308.1,AF-Q03393-F1
480,NM_000317.3,NP_000308.1,AF-Q03393-F1
481,NM_000317.3,NP_000308.1,AF-Q03393-F1
482,NM_000317.3,NP_000308.1,AF-Q03393-F1
483,NM_000317.3,NP_000308.1,AF-Q03393-F1
484,NM_000317.3,NP_000308.1,AF-Q03393-F1
490,NM_000320.3,NP_000311.2,AF-A0A140VKA9-F1
491,NM_000320.3,NP_000311.2,AF-A0A140VKA9-F1
492,NM_000320.3,NP_000311.2,AF-A0A140VKA9-F1
493,NM_000320.3,NP_000311.2,AF-A0A140VKA9-F1
494,NM_000320.3,NP_000311.2,AF-A0A140VKA9-F1
495,NM_000320.3,NP_000311.2,AF-A0A140VKA9-F1
496,NM_173560.4,NP_775831.2,AF-Q8HWS3-F1
497,NM_173560.4,NP_775831.2,AF-Q8HWS3-F1
498,NM_173560.4,NP_775831.2,AF-Q8HWS3-F1
499,NM_173560.4,NP_775831.2,AF-Q8HWS3-F1
500,NM_173560.4,NP_775831.2,AF-Q8HWS3-F1
503,NM_001010892.3,NP_001010892.1,AF-Q5TD94-F1
504,NM_001010892.3,NP_001010892.1,AF-Q5TD94-F1
505,NM_001010892.3,NP_001010892.1,AF-Q5TD94-F1
529,NM_018139.3,NP_060609.2,AF-Q9NVR5-F1
532,NM_025000.4,NP_079276.2,AF-Q5H9S7-F1
533,NM_025000.4,NP_079276.2,AF-Q5H9S7-F1
540,NM_017866.6,NP_060336.3,AF-Q9BUB7-F1
543,NM_001393500.2,NP_001380429.1,AF-A0A2R8Y5M8-F1
544,NM_001393500.2,NP_001380429.1,AF-A0A2R8Y5M8-F1
545,NM_001393500.2,NP_001380429.1,AF-A0A2R8Y5M8-F1
546,NM_001393500.2,NP_001380429.1,AF-A0A2R8Y5M8-F1
547,NM_152416.4,NP_689629.2,AF-Q330K2-F1
551,NM_000140.5,NP_000131.2,AF-P22830-F1
552,NM_000140.5,NP_000131.2,AF-P22830-F1
554,NM_000140.5,NP_000131.2,AF-P22830-F1
555,NM_000140.5,NP_000131.2,AF-P22830-F1
556,NM_000140.5,NP_000131.2,AF-P22830-F1
559,NM_000140.5,NP_000131.2,AF-P22830-F1
563,NM_018344.6,NP_060814.4,AF-Q9BZD2-F1
564,NM_018344.6,NP_060814.4,AF-Q9BZD2-F1
565,NM_018344.6,NP_060814.4,AF-Q9BZD2-F1
569,NM_018344.6,NP_060814.4,AF-Q9BZD2-F1
570,NM_024120.5,NP_077025.2,AF-Q5TEU4-F1
571,NM_024120.5,NP_077025.2,AF-Q5TEU4-F1
572,NM_001102416.3,NP_001095886.1,AF-P01042-F1
576,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
577,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
578,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
579,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
580,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
581,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
582,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
583,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
584,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
586,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
587,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
588,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
589,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
590,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
591,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
592,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
593,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
594,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
595,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
596,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
598,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
599,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
600,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
601,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
602,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
603,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
605,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
607,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
608,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
609,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
610,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
612,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
613,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
614,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
615,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
616,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
617,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
618,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
619,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
621,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
622,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
623,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
624,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
625,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
626,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
627,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
628,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
629,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
630,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
631,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
632,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
633,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
635,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
636,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
639,NM_000277.3,NP_000268.1,AF-A0A024RBG4-F1
640,NM_014920.5,NP_055735.1,AF-A0A024RD59-F1
641,NM_001136193.2,NP_001129665.1,AF-A0A024R3X5-F1
644,NM_000130.5,NP_000121.2,AF-P12259-F1
645,NM_000130.5,NP_000121.2,AF-P12259-F1
649,NM_000130.5,NP_000121.2,AF-P12259-F1
650,NM_000130.5,NP_000121.2,AF-P12259-F1
651,NM_000130.5,NP_000121.2,AF-P12259-F1
654,NM_000130.5,NP_000121.2,AF-P12259-F1
655,NM_000130.5,NP_000121.2,AF-P12259-F1
656,NM_000312.4,NP_000303.1,AF-P04070-F1
657,NM_000312.4,NP_000303.1,AF-P04070-F1
659,NM_000312.4,NP_000303.1,AF-P04070-F1
660,NM_000312.4,NP_000303.1,AF-P04070-F1
662,NM_000312.4,NP_000303.1,AF-P04070-F1
663,NM_000312.4,NP_000303.1,AF-P04070-F1
664,NM_000312.4,NP_000303.1,AF-P04070-F1
665,NM_000312.4,NP_000303.1,AF-P04070-F1
666,NM_000312.4,NP_000303.1,AF-P04070-F1
667,NM_000312.4,NP_000303.1,AF-P04070-F1
668,NM_000312.4,NP_000303.1,AF-P04070-F1
669,NM_000312.4,NP_000303.1,AF-P04070-F1
671,NM_000312.4,NP_000303.1,AF-P04070-F1
674,NM_000312.4,NP_000303.1,AF-P04070-F1
676,NM_000312.4,NP_000303.1,AF-P04070-F1
677,NM_000312.4,NP_000303.1,AF-P04070-F1
679,NM_000312.4,NP_000303.1,AF-P04070-F1
680,NM_000312.4,NP_000303.1,AF-P04070-F1
681,NM_000147.5,NP_000138.2,AF-P04066-F1
683,NM_000147.5,NP_000138.2,AF-P04066-F1
684,NM_000147.5,NP_000138.2,AF-P04066-F1
685,NM_000147.5,NP_000138.2,AF-P04066-F1
686,NM_000147.5,NP_000138.2,AF-P04066-F1
687,NM_000147.5,NP_000138.2,AF-P04066-F1
692,NM_000147.5,NP_000138.2,AF-P04066-F1
693,NM_014694.4,NP_055509.2,AF-Q86TH1-F1
694,NM_014694.4,NP_055509.2,AF-Q86TH1-F1
695,NM_014694.4,NP_055509.2,AF-Q86TH1-F1
696,NM_014694.4,NP_055509.2,AF-Q86TH1-F1
697,NM_014694.4,NP_055509.2,AF-Q86TH1-F1
698,NM_000512.5,NP_000503.1,AF-P34059-F1
700,NM_000512.5,NP_000503.1,AF-P34059-F1
703,NM_000512.5,NP_000503.1,AF-P34059-F1
704,NM_000512.5,NP_000503.1,AF-P34059-F1
705,NM_000512.5,NP_000503.1,AF-P34059-F1
706,NM_000512.5,NP_000503.1,AF-P34059-F1
707,NM_000512.5,NP_000503.1,AF-P34059-F1
708,NM_000512.5,NP_000503.1,AF-P34059-F1
709,NM_000512.5,NP_000503.1,AF-P34059-F1
711,NM_000512.5,NP_000503.1,AF-P34059-F1
713,NM_000512.5,NP_000503.1,AF-P34059-F1
714,NM_000512.5,NP_000503.1,AF-P34059-F1
718,NM_001109809.5,NP_001103279.2,AF-A0A1U9X8V5-F1
719,NM_001109809.5,NP_001103279.2,AF-A0A1U9X8V5-F1
720,NM_001109809.5,NP_001103279.2,AF-A0A1U9X8V5-F1
729,NM_014402.5,NP_055217.2,AF-O14949-F1
732,NM_018077.3,NP_060547.2,AF-A0A024R753-F1
734,NM_024334.3,NP_077310.1,AF-A0A024R2F9-F1
737,NM_203395.3,NP_981932.1,AF-Q6PHW0-F1
739,NM_203395.3,NP_981932.1,AF-Q6PHW0-F1
740,NM_203395.3,NP_981932.1,AF-Q6PHW0-F1
741,NM_001378615.1,NP_001365544.1,AF-Q9P2K1-F1
742,NM_001378615.1,NP_001365544.1,AF-Q9P2K1-F1
744,NM_001378615.1,NP_001365544.1,AF-Q9P2K1-F1
745,NM_001378615.1,NP_001365544.1,AF-Q9P2K1-F1
747,NM_001378615.1,NP_001365544.1,AF-Q9P2K1-F1
758,NM_001160372.4,NP_001153844.1,AF-Q96Q05-F1
759,NM_001160372.4,NP_001153844.1,AF-Q96Q05-F1
761,NM_015702.3,NP_056517.1,AF-Q9H3L0-F1
762,NM_015702.3,NP_056517.1,AF-Q9H3L0-F1
765,NM_015702.3,NP_056517.1,AF-Q9H3L0-F1
767,NM_015702.3,NP_056517.1,AF-Q9H3L0-F1
770,NM_198488.5,NP_940890.4,AF-Q6ZRV2-F1
771,NM_198488.5,NP_940890.4,AF-Q6ZRV2-F1
772,NM_198488.5,NP_940890.4,AF-Q6ZRV2-F1
773,NM_198488.5,NP_940890.4,AF-Q6ZRV2-F1
774,NM_198488.5,NP_940890.4,AF-Q6ZRV2-F1
775,NM_198488.5,NP_940890.4,AF-Q6ZRV2-F1
776,NM_198488.5,NP_940890.4,AF-Q6ZRV2-F1
777,NM_198488.5,NP_940890.4,AF-Q6ZRV2-F1
778,NM_198488.5,NP_940890.4,AF-Q6ZRV2-F1
781,NM_198488.5,NP_940890.4,AF-Q6ZRV2-F1
783,NM_213595.4,NP_998760.1,AF-Q9H1K1-F1
784,NM_213606.4,NP_998771.3,AF-Q6ZSM3-F1
785,NM_052859.4,NP_443091.1,AF-Q96AA3-F1
790,NM_014165.4,NP_054884.1,AF-Q9P032-F1
791,NM_001136271.3,NP_001129743.2,AF-A6NCS4-F1
792,NM_022773.4,NP_073610.2,AF-Q96S06-F1
843,NM_153033.5,NP_694578.1,AF-A0A024RDN7-F1
844,NM_012463.4,NP_036595.2,AF-Q9Y487-F1
845,NM_012463.4,NP_036595.2,AF-Q9Y487-F1
850,NM_080669.6,NP_542400.2,AF-A0A024QZ15-F1
852,NM_080669.6,NP_542400.2,AF-A0A024QZ15-F1
853,NM_080669.6,NP_542400.2,AF-A0A024QZ15-F1
854,NM_080669.6,NP_542400.2,AF-A0A024QZ15-F1
855,NM_080669.6,NP_542400.2,AF-A0A024QZ15-F1
856,NM_013319.3,NP_037451.1,AF-Q9Y5Z9-F1
857,NM_013319.3,NP_037451.1,AF-Q9Y5Z9-F1
858,NM_013319.3,NP_037451.1,AF-Q9Y5Z9-F1
859,NM_013319.3,NP_037451.1,AF-Q9Y5Z9-F1
860,NM_013319.3,NP_037451.1,AF-Q9Y5Z9-F1
861,NM_013319.3,NP_037451.1,AF-Q9Y5Z9-F1
862,NM_013319.3,NP_037451.1,AF-Q9Y5Z9-F1
863,NM_013319.3,NP_037451.1,AF-Q9Y5Z9-F1
864,NM_013319.3,NP_037451.1,AF-Q9Y5Z9-F1
868,NM_000507.4,NP_000498.2,AF-P09467-F1
869,NM_000507.4,NP_000498.2,AF-P09467-F1
870,NM_000507.4,NP_000498.2,AF-P09467-F1
871,NM_000507.4,NP_000498.2,AF-P09467-F1
872,NM_000507.4,NP_000498.2,AF-P09467-F1
878,NM_000046.5,NP_000037.2,AF-A0A024RAJ9-F1
884,NM_000046.5,NP_000037.2,AF-A0A024RAJ9-F1
885,NM_000046.5,NP_000037.2,AF-A0A024RAJ9-F1
887,NM_000046.5,NP_000037.2,AF-A0A024RAJ9-F1
888,NM_000046.5,NP_000037.2,AF-A0A024RAJ9-F1
890,NM_006331.8,NP_006322.4,AF-Q92979-F1
891,NM_020320.5,NP_064716.2,AF-Q5T160-F1
892,NM_001008388.5,NP_001008389.1,AF-Q8N5K1-F1
893,NM_000181.4,NP_000172.2,AF-P08236-F1
894,NM_000181.4,NP_000172.2,AF-P08236-F1
895,NM_000181.4,NP_000172.2,AF-P08236-F1
896,NM_000181.4,NP_000172.2,AF-P08236-F1
898,NM_000181.4,NP_000172.2,AF-P08236-F1
